Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20210602-MA-ABS1W_S93_L001_R1_001	(1.0, 9.077512525788388)	(2.0, 3.8314176245210727)	(3.0, 2.961980548187445)	(4.0, 1.6504568228706158)	(5.0, 1.2525788387857353)	(6.0, 1.1494252873563218)	(7.0, 1.237842617152962)	(8.0, 0.707338638373121)	(9.0, 1.4588859416445623)	('>10', 20.14441497200118)	('>50', 9.932213380489243)	('>100', 38.93309755378721)	('>500', 7.662835249042145)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-ABS1W_S93_L001_R2_001	(1.0, 14.028882994400234)	(2.0, 4.037724727379899)	(3.0, 2.608311229000884)	(4.0, 1.9451812555260832)	(5.0, 0.9578544061302682)	(6.0, 0.8841732979664014)	(7.0, 1.031535514294135)	(8.0, 1.1788977306218684)	(9.0, 0.7957559681697612)	('>10', 16.607721780135574)	('>50', 11.007957559681698)	('>100', 23.13586796345417)	('>500', 21.780135573239022)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1F_S8_L001_R1_001	(1.0, 9.537904949843776)	(2.0, 3.6178260154579838)	(3.0, 2.2693635915145536)	(4.0, 1.3813517513566849)	(5.0, 1.562243052129584)	(6.0, 1.7760236803157377)	(7.0, 1.151126459463904)	(8.0, 1.1840157868771584)	(9.0, 1.1840157868771584)	('>10', 22.693635915145535)	('>50', 16.181549087321166)	('>100', 19.141588554514062)	('>500', 18.3193553691827)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1F_S8_L001_R2_001	(1.0, 13.007728991942113)	(2.0, 3.946719289590528)	(3.0, 2.5160335471139614)	(4.0, 0.986679822397632)	(5.0, 1.397796415063312)	(6.0, 1.2826837691169217)	(7.0, 0.9209011675711232)	(8.0, 1.0524584772241408)	(9.0, 1.480019733596448)	('>10', 20.50649564216412)	('>50', 8.682782437099162)	('>100', 26.969248478868607)	('>500', 0.0)	('>1k', 17.250452228251934)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1P_S87_L001_R1_001	(1.0, 7.242559915722939)	(2.0, 3.450092178035291)	(3.0, 1.6592046352383463)	(4.0, 1.1061364234922308)	(5.0, 1.053463260468791)	(6.0, 0.9481169344219119)	(7.0, 1.0139583882012115)	(8.0, 0.7374242823281538)	(9.0, 0.9481169344219119)	('>10', 17.79036081116671)	('>50', 12.98393468527785)	('>100', 21.3721358967606)	('>500', 0.0)	('>1k', 29.69449565446405)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1P_S87_L001_R2_001	(1.0, 10.79799841980511)	(2.0, 3.239399525941533)	(3.0, 1.8567289965762444)	(4.0, 1.6855412167500659)	(5.0, 0.7242559915722939)	(6.0, 1.5011851461680275)	(7.0, 0.6452462470371346)	(8.0, 0.7374242823281538)	(9.0, 0.47405846721095596)	('>10', 13.945219910455622)	('>50', 5.820384514090071)	('>100', 30.747958914932845)	('>500', 12.878588359230973)	('>1k', 14.946010007900975)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1W_S94_L001_R1_001	(1.0, 9.44299986314493)	(2.0, 3.4487477761051046)	(3.0, 1.6422608457643355)	(4.0, 1.259066648419324)	(5.0, 1.2316956343232517)	(6.0, 1.3138086766114685)	(7.0, 1.2453811413712879)	(8.0, 1.3138086766114685)	(9.0, 0.7390173805939511)	('>10', 20.993567811687424)	('>50', 19.255508416586835)	('>100', 31.066100999042014)	('>500', 7.048036129738606)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CEB1W_S94_L001_R2_001	(1.0, 12.494867934856986)	(2.0, 4.570959354044067)	(3.0, 1.888599972628986)	(4.0, 1.9707130149172025)	(5.0, 1.0948405638428904)	(6.0, 1.067469549746818)	(7.0, 1.1495825920350349)	(8.0, 1.0948405638428904)	(9.0, 0.9853565074586013)	('>10', 19.775557684412206)	('>50', 5.364718762830163)	('>100', 30.9839879567538)	('>500', 17.558505542630353)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1F_S79_L001_R1_001	(1.0, 7.834169371496016)	(2.0, 3.4818530539982295)	(3.0, 1.8589554440838005)	(4.0, 1.0622602537621717)	(5.0, 1.0327530244910004)	(6.0, 1.0622602537621717)	(7.0, 1.0327530244910004)	(8.0, 1.5343759221009148)	(9.0, 1.195042785482443)	('>10', 21.85010327530245)	('>50', 13.85364414281499)	('>100', 11.19799350840956)	('>500', 0.0)	('>1k', 33.003835939805256)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1F_S79_L001_R2_001	(1.0, 14.458542342874004)	(2.0, 3.304809678371201)	(3.0, 1.8589554440838005)	(4.0, 1.1802891708468575)	(5.0, 1.1065210976689288)	(6.0, 1.150781941575686)	(7.0, 0.6196518146946002)	(8.0, 0.9442313366774859)	(9.0, 0.6639126586013573)	('>10', 20.832103865447035)	('>50', 8.468574800826202)	('>100', 16.273236943051046)	('>500', 0.0)	('>1k', 29.138388905281793)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1P_S41_L001_R1_001	(1.0, 8.95863985613863)	(2.0, 4.348536864476051)	(3.0, 2.5993133889161353)	(4.0, 1.373222167729279)	(5.0, 1.3078306359326468)	(6.0, 1.8636586562040216)	(7.0, 1.0299166257969592)	(8.0, 1.569396763119176)	(9.0, 1.324178518881805)	('>10', 25.306522805296716)	('>50', 2.8281837502043485)	('>100', 13.781265326140266)	('>500', 0.0)	('>1k', 33.70933464116397)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1P_S41_L001_R2_001	(1.0, 12.358999509563512)	(2.0, 4.381232630374367)	(3.0, 2.30505149583129)	(4.0, 1.7655713585090729)	(5.0, 2.0434853686447605)	(6.0, 1.2751348700343306)	(7.0, 1.2587869870851724)	(8.0, 0.6539153179663234)	(9.0, 0.8827856792545364)	('>10', 21.726336439431094)	('>50', 8.010462645087461)	('>100', 0.0)	('>500', 12.587869870851726)	('>1k', 30.750367827366354)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1W_S47_L001_R1_001	(1.0, 7.720333102012492)	(2.0, 3.747397640527411)	(3.0, 2.4462179042331713)	(4.0, 2.1512838306731434)	(5.0, 1.4746703678001387)	(6.0, 0.9368494101318527)	(7.0, 0.9715475364330326)	(8.0, 0.9715475364330326)	(9.0, 0.4684247050659264)	('>10', 26.075641915336572)	('>50', 9.680777238029146)	('>100', 7.546842470506593)	('>500', 0.0)	('>1k', 35.80846634281748)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CES1W_S47_L001_R2_001	(1.0, 12.595419847328243)	(2.0, 3.747397640527411)	(3.0, 2.4462179042331713)	(4.0, 1.7349063150589867)	(5.0, 1.5614156835530881)	(6.0, 1.35322692574601)	(7.0, 1.5787647467036778)	(8.0, 0.9715475364330326)	(9.0, 0.4684247050659264)	('>10', 22.623178348369187)	('>50', 6.557945870922969)	('>100', 11.641221374045802)	('>500', 0.0)	('>1k', 32.72033310201249)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWB1F_S18_L001_R1_001	(1.0, 11.960213488597768)	(2.0, 5.1916545366327025)	(3.0, 3.6390101892285296)	(4.0, 2.037845705967977)	(5.0, 2.3047064531780688)	(6.0, 1.3100436681222707)	(7.0, 1.6982047549733137)	(8.0, 1.3585638039786512)	(9.0, 1.3100436681222707)	('>10', 23.508005822416305)	('>50', 12.372634643377003)	('>100', 33.30907326540514)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWB1F_S18_L001_R2_001	(1.0, 16.20572537603105)	(2.0, 5.725376031052887)	(3.0, 3.056768558951965)	(4.0, 2.134885977680738)	(5.0, 2.6686074721009216)	(6.0, 1.7467248908296942)	(7.0, 0.6792819019893256)	(8.0, 1.1644832605531297)	(9.0, 1.3100436681222707)	('>10', 26.686074721009216)	('>50', 10.334788937409025)	('>100', 11.887433284813198)	('>500', 16.399805919456576)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-CWB1P_S44_L001_R1_001	(1.0, 9.214477635530267)	(2.0, 4.046151414572467)	(3.0, 2.6078710289236606)	(4.0, 2.0862968231389285)	(5.0, 1.896633475580844)	(6.0, 1.896633475580844)	(7.0, 1.4382803856488067)	(8.0, 2.0230757072862335)	(9.0, 1.2802275960170697)	('>10', 18.982140034771614)	('>50', 16.53232179547969)	('>100', 17.84415994942311)	('>500', 20.151730678046466)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
