Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
20210602-MA-SCB1W_S32_L001_R1_001	(1.0, 8.505269407748257)	(2.0, 3.7999109395873534)	(3.0, 2.3601009351343327)	(4.0, 1.365592993914205)	(5.0, 0.5195190737717085)	(6.0, 1.068724951758943)	(7.0, 0.6234228885260502)	(8.0, 1.4249666023452576)	(9.0, 0.5343624758794715)	('>10', 16.728514175449014)	('>50', 20.053436247587946)	('>100', 43.01617930829747)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCB1W_S32_L001_R2_001	(1.0, 12.245806738904557)	(2.0, 3.7999109395873534)	(3.0, 1.959329078224729)	(4.0, 0.8312305180347335)	(5.0, 1.039038147543417)	(6.0, 1.3359061896986788)	(7.0, 0.9351343327890752)	(8.0, 1.068724951758943)	(9.0, 0.4007718569096037)	('>10', 14.828558705655336)	('>50', 11.681757458809559)	('>100', 30.132106278759093)	('>500', 19.74172480332492)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1F_S53_L001_R1_001	(1.0, 7.388003849032396)	(2.0, 3.1006094301293703)	(3.0, 1.4113118785416445)	(4.0, 1.1547097188068)	(5.0, 0.641505399337111)	(6.0, 0.9622580990056665)	(7.0, 0.7484229658932963)	(8.0, 0.3421362129797926)	(9.0, 0.5773548594034)	('>10', 12.659039880252326)	('>50', 12.84079974339784)	('>100', 39.76264300224527)	('>500', 18.411204960975088)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1F_S53_L001_R2_001	(1.0, 10.766598952207849)	(2.0, 3.1433764567518443)	(3.0, 1.924516198011333)	(4.0, 1.1547097188068)	(5.0, 0.8553405324494815)	(6.0, 1.0905591788730888)	(7.0, 0.29936918635731846)	(8.0, 0.6842724259595852)	(9.0, 0.48112904950283325)	('>10', 14.722548914786698)	('>50', 8.371645461349301)	('>100', 35.11172885705121)	('>500', 6.586122099861007)	('>1k', 14.808082968031647)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1P_S88_L001_R1_001	(1.0, 9.583074051026758)	(2.0, 4.579962663347853)	(3.0, 2.7255756067205974)	(4.0, 1.9912881144990666)	(5.0, 1.7423771001866835)	(6.0, 1.04542626011201)	(7.0, 1.3939016801493465)	(8.0, 1.0952084629744867)	(9.0, 1.2321095208462975)	('>10', 17.06285003111388)	('>50', 10.802738021157436)	('>100', 5.67517112632234)	('>500', 41.070317361543246)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1P_S88_L001_R2_001	(1.0, 13.627878033602986)	(2.0, 4.62974486621033)	(3.0, 2.8749222153080276)	(4.0, 1.7921593030491598)	(5.0, 1.4312383322962041)	(6.0, 0.9707529558182949)	(7.0, 1.2196639701306782)	(8.0, 1.0952084629744867)	(9.0, 0.11200995644057249)	('>10', 19.203484754200375)	('>50', 9.346608587429994)	('>100', 6.8948350964530185)	('>500', 18.182949595519602)	('>1k', 18.618543870566274)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1W_S42_L001_R1_001	(1.0, 8.590122414520895)	(2.0, 3.588011819333052)	(3.0, 1.5196285352469396)	(4.0, 1.5196285352469396)	(5.0, 1.2663571127057829)	(6.0, 2.152807091599831)	(7.0, 1.7728999577880964)	(8.0, 0.8442380751371887)	(9.0, 0.9497678345293372)	('>10', 24.5040101308569)	('>50', 13.4233853946813)	('>100', 16.040523427606583)	('>500', 23.828619670747152)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210602-MA-SCS1W_S42_L001_R2_001	(1.0, 13.106796116504855)	(2.0, 3.7146475306036306)	(3.0, 2.089489235964542)	(4.0, 0.8442380751371887)	(5.0, 1.5829463908822288)	(6.0, 1.2663571127057829)	(7.0, 1.0341916420430561)	(8.0, 1.1819333051920642)	(9.0, 2.089489235964542)	('>10', 16.167159138877164)	('>50', 12.346981848881384)	('>100', 25.24271844660194)	('>500', 19.33305192064162)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2F_S55_L001_R1_001	(1.0, 4.328490957604506)	(2.0, 0.9487103468722206)	(3.0, 0.8894159501927068)	(4.0, 0.9487103468722206)	(5.0, 0.29647198339756897)	(6.0, 0.3557663800770827)	(7.0, 0.41506077675659653)	(8.0, 0.0)	(9.0, 1.0672991402312482)	('>10', 29.054254372961758)	('>50', 0.0)	('>100', 24.103172250222354)	('>500', 37.59264749481174)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2F_S55_L001_R2_001	(1.0, 7.1153276015416544)	(2.0, 1.2451823302697895)	(3.0, 0.8004743551734361)	(4.0, 0.11858879335902757)	(5.0, 0.29647198339756897)	(6.0, 0.7115327601541654)	(7.0, 0.20753038837829826)	(8.0, 0.9487103468722206)	(9.0, 0.26682478505781204)	('>10', 23.00622591165135)	('>50', 7.382152386599467)	('>100', 21.434924399644235)	('>500', 0.0)	('>1k', 36.46605395790098)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2P_S17_L001_R1_001	(1.0, 10.653465346534654)	(2.0, 5.8217821782178225)	(3.0, 3.6237623762376234)	(4.0, 2.9306930693069306)	(5.0, 2.277227722772277)	(6.0, 2.613861386138614)	(7.0, 1.8019801980198018)	(8.0, 2.0594059405940595)	(9.0, 1.2475247524752475)	('>10', 20.13861386138614)	('>50', 9.96039603960396)	('>100', 7.267326732673267)	('>500', 29.603960396039604)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2P_S17_L001_R2_001	(1.0, 14.83168316831683)	(2.0, 5.306930693069307)	(3.0, 3.089108910891089)	(4.0, 2.5346534653465347)	(5.0, 1.881188118811881)	(6.0, 1.5445544554455446)	(7.0, 0.8316831683168318)	(8.0, 0.9504950495049505)	(9.0, 0.891089108910891)	('>10', 21.22772277227723)	('>50', 7.168316831683168)	('>100', 12.217821782178218)	('>500', 0.0)	('>1k', 27.524752475247528)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2W_S92_L001_R1_001	(1.0, 7.798656411254989)	(2.0, 3.4271249148086844)	(3.0, 1.8401324116444358)	(4.0, 1.2462272417486124)	(5.0, 1.2170187907701295)	(6.0, 0.9930873332684257)	(7.0, 0.545224418265018)	(8.0, 0.6231136208743062)	(9.0, 1.0515042352253918)	('>10', 16.47356635186447)	('>50', 10.086651737902832)	('>100', 21.89660208353617)	('>500', 0.0)	('>1k', 32.801090448836526)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABB2W_S92_L001_R2_001	(1.0, 10.495570051601597)	(2.0, 3.6413202219842273)	(3.0, 1.6940901567520201)	(4.0, 1.5577840521857658)	(5.0, 1.4117417972933501)	(6.0, 0.9346704313114594)	(7.0, 0.7496835751143998)	(8.0, 1.0125596339207477)	(9.0, 0.7010028234835946)	('>10', 15.139713757180411)	('>50', 8.869632947132704)	('>100', 18.187128809268817)	('>500', 5.977996300262876)	('>1k', 29.627105442508032)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1F_S33_L001_R1_001	(1.0, 9.341057204923969)	(2.0, 4.417089065894279)	(3.0, 2.063721940622737)	(4.0, 1.8826937002172341)	(5.0, 1.1766835626357712)	(6.0, 0.9775524981897176)	(7.0, 1.6473569876900795)	(8.0, 0.8689355539464156)	(9.0, 0.6517016654598118)	('>10', 23.950036205648082)	('>50', 10.734974656046344)	('>100', 19.170890658942795)	('>500', 23.117306299782765)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1F_S33_L001_R2_001	(1.0, 12.509051412020275)	(2.0, 3.87400434467777)	(3.0, 2.2809558291093412)	(4.0, 1.5206372194062274)	(5.0, 1.8102824040550327)	(6.0, 1.4120202751629254)	(7.0, 0.8870383779869659)	(8.0, 0.724112961622013)	(9.0, 0.8146270818247647)	('>10', 21.16220130340333)	('>50', 4.761042722664736)	('>100', 26.430123099203474)	('>500', 0.0)	('>1k', 21.81390296886314)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1P_S29_L001_R1_001	(1.0, 9.235948477751757)	(2.0, 4.186182669789227)	(3.0, 3.0737704918032787)	(4.0, 2.459016393442623)	(5.0, 1.9028103044496487)	(6.0, 1.756440281030445)	(7.0, 1.2295081967213115)	(8.0, 1.288056206088993)	(9.0, 1.449063231850117)	('>10', 23.38992974238876)	('>50', 9.879976580796253)	('>100', 10.17271662763466)	('>500', 0.0)	('>1k', 29.97658079625293)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1P_S29_L001_R2_001	(1.0, 13.012295081967212)	(2.0, 3.9227166276346606)	(3.0, 2.810304449648712)	(4.0, 2.3419203747072603)	(5.0, 1.5368852459016393)	(6.0, 1.405152224824356)	(7.0, 0.6147540983606558)	(8.0, 1.405152224824356)	(9.0, 1.5807962529274004)	('>10', 23.46311475409836)	('>50', 8.401639344262295)	('>100', 12.338992974238876)	('>500', 0.0)	('>1k', 27.166276346604217)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1W_S10_L001_R1_001	(1.0, 8.59656137544982)	(2.0, 4.118352658936426)	(3.0, 2.818872451019592)	(4.0, 1.5193922431027589)	(5.0, 2.0991603358656534)	(6.0, 0.47980807676929227)	(7.0, 1.2594962015193922)	(8.0, 0.6397441023590564)	(9.0, 0.8996401439424231)	('>10', 22.830867652938824)	('>50', 13.29468212714914)	('>100', 41.443422630947616)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-ABS1W_S10_L001_R2_001	(1.0, 12.275089964014395)	(2.0, 4.4382247101159535)	(3.0, 2.7588964414234307)	(4.0, 1.1195521791283487)	(5.0, 1.6993202718912435)	(6.0, 0.9596161535385845)	(7.0, 0.9796081567373052)	(8.0, 1.2794882047181129)	(9.0, 0.8996401439424231)	('>10', 20.431827269092363)	('>50', 3.838464614154338)	('>100', 31.16753298680528)	('>500', 18.152738904438227)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1F_S91_L001_R1_001	(1.0, 7.605820105820106)	(2.0, 4.365079365079365)	(3.0, 1.6269841269841272)	(4.0, 1.64021164021164)	(5.0, 1.1243386243386242)	(6.0, 1.3492063492063493)	(7.0, 0.6481481481481481)	(8.0, 1.0582010582010581)	(9.0, 0.9523809523809524)	('>10', 18.796296296296298)	('>50', 10.277777777777777)	('>100', 27.16931216931217)	('>500', 23.386243386243386)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1F_S91_L001_R2_001	(1.0, 11.917989417989418)	(2.0, 3.5185185185185186)	(3.0, 2.142857142857143)	(4.0, 1.746031746031746)	(5.0, 1.917989417989418)	(6.0, 0.7936507936507936)	(7.0, 0.7407407407407408)	(8.0, 0.5291005291005291)	(9.0, 1.0714285714285714)	('>10', 16.30952380952381)	('>50', 9.708994708994709)	('>100', 20.304232804232804)	('>500', 8.068783068783068)	('>1k', 21.23015873015873)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1P_S21_L001_R1_001	(1.0, 9.40416367552046)	(2.0, 4.522613065326634)	(3.0, 2.638190954773869)	(4.0, 1.507537688442211)	(5.0, 1.7946877243359656)	(6.0, 0.9691313711414214)	(7.0, 0.8793969849246231)	(8.0, 1.148600143575018)	(9.0, 0.8076094759511845)	('>10', 28.98420674802584)	('>50', 10.821966977745873)	('>100', 9.42211055276382)	('>500', 27.09978463747308)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1P_S21_L001_R2_001	(1.0, 13.298636037329507)	(2.0, 4.558506819813353)	(3.0, 2.745872218234027)	(4.0, 2.2254127781765973)	(5.0, 1.7049533381191675)	(6.0, 0.9691313711414214)	(7.0, 1.6331658291457287)	(8.0, 0.8614501076812634)	(9.0, 1.2921751615218953)	('>10', 21.500358937544867)	('>50', 13.54989231873654)	('>100', 9.816941852117731)	('>500', 0.0)	('>1k', 25.843503230437904)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1W_S59_L001_R1_001	(1.0, 8.872971787750329)	(2.0, 4.180675339862593)	(3.0, 2.148808653705599)	(4.0, 1.4033036105832482)	(5.0, 1.3886858646396727)	(6.0, 1.6664230375676072)	(7.0, 1.5348633240754277)	(8.0, 0.467767870194416)	(9.0, 1.1840374214296157)	('>10', 20.201724894021343)	('>50', 13.813769916678847)	('>100', 21.41499780733811)	('>500', 21.721970472153192)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CEB1W_S59_L001_R2_001	(1.0, 12.439701797982751)	(2.0, 4.09296886420114)	(3.0, 2.1049554158748722)	(4.0, 1.6956585294547581)	(5.0, 1.75412951322906)	(6.0, 1.4033036105832482)	(7.0, 1.637187545680456)	(8.0, 0.7016518052916241)	(9.0, 1.1840374214296157)	('>10', 18.900745505043123)	('>50', 5.277006285630756)	('>100', 20.377137845344247)	('>500', 8.142084490571554)	('>1k', 20.289431369682795)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1F_S57_L001_R1_001	(1.0, 8.429706005294692)	(2.0, 3.3161488086944404)	(3.0, 2.340810923784311)	(4.0, 1.6162742092796434)	(5.0, 0.8360039013515397)	(6.0, 1.0868050717570017)	(7.0, 1.5605406158562074)	(8.0, 0.7802703079281037)	(9.0, 0.3762017556081928)	('>10', 17.792949700431933)	('>50', 15.173470809530446)	('>100', 23.017974083879057)	('>500', 23.67284380660443)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1F_S57_L001_R2_001	(1.0, 12.108123171241465)	(2.0, 3.2882820119827225)	(3.0, 2.340810923784311)	(4.0, 1.3376062421624635)	(5.0, 1.5326738191444895)	(6.0, 1.5048070224327712)	(7.0, 0.9753378849101296)	(8.0, 0.8917374947749755)	(9.0, 0.6270029260136547)	('>10', 17.15201337606242)	('>50', 10.561515953741116)	('>100', 26.097255120523894)	('>500', 0.0)	('>1k', 21.582834053225582)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1P_S40_L001_R1_001	(1.0, 9.698834196891191)	(2.0, 5.213730569948186)	(3.0, 3.1088082901554404)	(4.0, 1.8134715025906734)	(5.0, 2.4287564766839376)	(6.0, 1.5544041450777202)	(7.0, 1.3601036269430051)	(8.0, 1.6839378238341969)	(9.0, 1.16580310880829)	('>10', 30.537564766839374)	('>50', 10.443652849740932)	('>100', 7.852979274611399)	('>500', 23.137953367875646)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1P_S40_L001_R2_001	(1.0, 14.702072538860103)	(2.0, 5.116580310880829)	(3.0, 2.9145077720207255)	(4.0, 2.7202072538860103)	(5.0, 1.9430051813471503)	(6.0, 2.1373056994818653)	(7.0, 1.4734455958549224)	(8.0, 1.16580310880829)	(9.0, 0.8743523316062176)	('>10', 23.170336787564764)	('>50', 11.900906735751295)	('>100', 11.415155440414509)	('>500', 0.0)	('>1k', 20.466321243523318)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1W_S22_L001_R1_001	(1.0, 8.727514990006663)	(2.0, 3.8974017321785475)	(3.0, 2.748167888074617)	(4.0, 1.73217854763491)	(5.0, 1.6655562958027983)	(6.0, 0.899400399733511)	(7.0, 1.632245169886742)	(8.0, 1.0659560293137909)	(9.0, 0.4497001998667555)	('>10', 22.901399067288473)	('>50', 11.592271818787475)	('>100', 21.802131912058627)	('>500', 20.88607594936709)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CES1W_S22_L001_R2_001	(1.0, 12.524983344437041)	(2.0, 3.8307794803464357)	(3.0, 2.898067954696869)	(4.0, 2.1319120586275817)	(5.0, 1.0826115922718187)	(6.0, 1.3990672884743505)	(7.0, 1.2824783477681547)	(8.0, 0.6662225183211192)	(9.0, 0.4497001998667555)	('>10', 20.019986675549635)	('>50', 7.744836775483012)	('>100', 26.39906728847435)	('>500', 0.0)	('>1k', 19.570286475682877)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1F_S9_L001_R1_001	(1.0, 9.632034632034632)	(2.0, 4.509379509379509)	(3.0, 2.4350649350649354)	(4.0, 1.875901875901876)	(5.0, 0.992063492063492)	(6.0, 1.6233766233766231)	(7.0, 0.6313131313131313)	(8.0, 1.1544011544011543)	(9.0, 1.461038961038961)	('>10', 17.243867243867246)	('>50', 10.966810966810966)	('>100', 47.474747474747474)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1F_S9_L001_R2_001	(1.0, 13.943001443001442)	(2.0, 4.725829725829725)	(3.0, 2.7056277056277054)	(4.0, 2.380952380952381)	(5.0, 1.3528138528138527)	(6.0, 1.1904761904761905)	(7.0, 0.7575757575757576)	(8.0, 1.5873015873015872)	(9.0, 0.6493506493506493)	('>10', 18.68686868686869)	('>50', 8.333333333333332)	('>100', 29.383116883116884)	('>500', 14.303751803751805)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1P_S80_L001_R1_001	(1.0, 8.809153521439681)	(2.0, 3.7325038880248838)	(3.0, 2.3661408575872027)	(4.0, 1.8218173739169075)	(5.0, 1.166407465007776)	(6.0, 0.9997778271495222)	(7.0, 1.5552099533437014)	(8.0, 1.244167962674961)	(9.0, 0.4998889135747611)	('>10', 16.785158853588094)	('>50', 10.097756054210176)	('>100', 29.57120639857809)	('>500', 21.35081093090424)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1P_S80_L001_R2_001	(1.0, 15.318818040435458)	(2.0, 4.065763163741391)	(3.0, 2.599422350588758)	(4.0, 2.0884247944901135)	(5.0, 1.4441235281048654)	(6.0, 0.7331704065763164)	(7.0, 1.7107309486780715)	(8.0, 1.1552988224838925)	(9.0, 0.9997778271495222)	('>10', 16.35192179515663)	('>50', 8.031548544767828)	('>100', 26.416351921795155)	('>500', 0.0)	('>1k', 19.084647856031992)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1W_S35_L001_R1_001	(1.0, 9.173026008409906)	(2.0, 3.644292166329232)	(3.0, 2.9434667497274565)	(4.0, 1.8688677776047344)	(5.0, 1.3237813424700202)	(6.0, 1.5885376109640243)	(7.0, 0.6541037221616571)	(8.0, 1.9934589627783834)	(9.0, 1.4016508332035509)	('>10', 18.75097336863417)	('>50', 6.463167730883041)	('>100', 29.387945802834448)	('>500', 20.806727923999375)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWB1W_S35_L001_R2_001	(1.0, 13.40912630431397)	(2.0, 4.485282666251362)	(3.0, 2.3360847220059178)	(4.0, 1.931163370191559)	(5.0, 1.7909982868712038)	(6.0, 1.1213206665628406)	(7.0, 1.3082074443233143)	(8.0, 0.8721382962155428)	(9.0, 0.5606603332814203)	('>10', 18.330478118673106)	('>50', 11.836162591496652)	('>100', 22.660021803457404)	('>500', 0.0)	('>1k', 19.35835539635571)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1F_S81_L001_R1_001	(1.0, 8.304794520547945)	(2.0, 3.9954337899543377)	(3.0, 2.0976027397260273)	(4.0, 1.4269406392694064)	(5.0, 1.783675799086758)	(6.0, 1.2842465753424657)	(7.0, 1.3984018264840181)	(8.0, 0.91324200913242)	(9.0, 0.898972602739726)	('>10', 21.31849315068493)	('>50', 12.756849315068495)	('>100', 26.783675799086758)	('>500', 17.03767123287671)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1F_S81_L001_R2_001	(1.0, 16.46689497716895)	(2.0, 4.651826484018265)	(3.0, 2.6113013698630136)	(4.0, 1.8835616438356164)	(5.0, 1.8550228310502281)	(6.0, 1.4554794520547945)	(7.0, 0.6992009132420091)	(8.0, 1.0273972602739725)	(9.0, 1.2842465753424657)	('>10', 17.636986301369863)	('>50', 12.371575342465754)	('>100', 23.416095890410958)	('>500', 0.0)	('>1k', 14.64041095890411)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1P_S66_L001_R1_001	(1.0, 9.266678279045463)	(2.0, 4.041107820937119)	(3.0, 3.18759797944609)	(4.0, 2.0205539104685597)	(5.0, 1.6547639784009756)	(6.0, 0.9406026824595018)	(7.0, 0.7315798641351681)	(8.0, 1.8115310921442258)	(9.0, 0.4703013412297509)	('>10', 18.533356558090926)	('>50', 14.196133077861)	('>100', 19.735237763455842)	('>500', 23.410555652325378)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1P_S66_L001_R2_001	(1.0, 13.22069325901411)	(2.0, 5.190733321720955)	(3.0, 2.6127852290541718)	(4.0, 1.67218254659467)	(5.0, 2.3515067061487547)	(6.0, 1.3586483191081693)	(7.0, 0.8535098414910295)	(8.0, 1.2541369099460025)	(9.0, 0.4703013412297509)	('>10', 19.5610520815189)	('>50', 8.970562619752656)	('>100', 20.34488765023515)	('>500', 0.0)	('>1k', 22.139000174185682)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1W_S82_L001_R1_001	(1.0, 8.46934841280041)	(2.0, 4.292507389795656)	(3.0, 2.1205500578331833)	(4.0, 1.3365891273615216)	(5.0, 1.1566636679090092)	(6.0, 0.9253309343272074)	(7.0, 1.1695154864413315)	(8.0, 1.233774579102943)	(9.0, 0.6939982007454054)	('>10', 19.25202416141884)	('>50', 8.5207556869297)	('>100', 27.759928029816216)	('>500', 23.069014265518568)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-CWS1W_S82_L001_R2_001	(1.0, 15.280812234931243)	(2.0, 4.061174656213854)	(3.0, 2.583215524996787)	(4.0, 1.902069142783704)	(5.0, 1.7349955018635135)	(6.0, 1.465107312684745)	(7.0, 1.0795527567150753)	(8.0, 1.1309600308443646)	(9.0, 0.9253309343272074)	('>10', 17.594139570749263)	('>50', 10.320010281454826)	('>100', 14.509703122991905)	('>500', 6.477316540290451)	('>1k', 20.935612389153064)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1F_S69_L001_R1_001	(1.0, 6.806877930936478)	(2.0, 3.6094926815404293)	(3.0, 1.7052721330112264)	(4.0, 1.364217706408981)	(5.0, 0.7105300554213444)	(6.0, 1.5347449197101037)	(7.0, 0.49737103879494104)	(8.0, 0.3410544266022453)	(9.0, 0.38368622992752593)	('>10', 21.912746909194258)	('>50', 9.30794372601961)	('>100', 21.31590166264033)	('>500', 13.912178485149923)	('>1k', 16.597982094642603)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1F_S69_L001_R2_001	(1.0, 10.416370612476907)	(2.0, 3.780019894841552)	(3.0, 2.0463265596134717)	(4.0, 1.5915873241438112)	(5.0, 0.9236890720477475)	(6.0, 0.5115816399033679)	(7.0, 0.49737103879494104)	(8.0, 0.9094784709393208)	(9.0, 0.12789540997584198)	('>10', 18.03325280659372)	('>50', 7.034247548671309)	('>100', 25.96276822509592)	('>500', 0.0)	('>1k', 28.16541139690209)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1P_S90_L001_R1_001	(1.0, 9.151670951156813)	(2.0, 3.7017994858611827)	(3.0, 2.930591259640103)	(4.0, 1.7137960582690661)	(5.0, 1.5424164524421593)	(6.0, 1.0282776349614395)	(7.0, 0.9597257926306769)	(8.0, 1.371036846615253)	(9.0, 0.9254498714652957)	('>10', 21.11396743787489)	('>50', 7.952013710368466)	('>100', 13.110539845758353)	('>500', 16.435304198800342)	('>1k', 18.063410454155957)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1P_S90_L001_R2_001	(1.0, 12.270779777206513)	(2.0, 3.8731790916880895)	(3.0, 2.056555269922879)	(4.0, 2.1936589545844045)	(5.0, 1.113967437874893)	(6.0, 0.8226221079691516)	(7.0, 1.3196229648671807)	(8.0, 1.0968294772922023)	(9.0, 1.3881748071979434)	('>10', 18.748928877463584)	('>50', 3.7532133676092547)	('>100', 19.074550128534703)	('>500', 0.0)	('>1k', 32.2879177377892)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1W_S71_L001_R1_001	(1.0, 8.055072005064092)	(2.0, 3.4815635385345782)	(3.0, 1.8040829245133723)	(4.0, 1.2027219496755817)	(5.0, 1.5825288811520808)	(6.0, 1.1394207944294985)	(7.0, 0.996993195125811)	(8.0, 1.1394207944294985)	(9.0, 0.7121379965184365)	('>10', 20.09811679063143)	('>50', 11.235955056179774)	('>100', 14.527615128976104)	('>500', 0.0)	('>1k', 34.02437094476974)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBB1W_S71_L001_R2_001	(1.0, 11.774014875771483)	(2.0, 3.7347681595189113)	(3.0, 1.661655325209685)	(4.0, 1.772432346890331)	(5.0, 0.9495173286912486)	(6.0, 1.0444690615603733)	(7.0, 0.7754391517645197)	(8.0, 1.3926254154138311)	(9.0, 0.8545655958221238)	('>10', 16.885583161892704)	('>50', 7.975945561006488)	('>100', 19.59170754866276)	('>500', 0.0)	('>1k', 31.58727646779554)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBS1F_S23_L001_R1_001	(1.0, 7.057731001392973)	(2.0, 3.188360934839808)	(3.0, 2.321622039931899)	(4.0, 1.3620182634267142)	(5.0, 1.2381984212970127)	(6.0, 1.3929732239591395)	(7.0, 1.0834236186348862)	(8.0, 0.6190992106485064)	(9.0, 0.6964866119795697)	('>10', 19.532580095960377)	('>50', 13.248723107878039)	('>100', 12.939173502553784)	('>500', 0.0)	('>1k', 35.31960996749729)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBS1F_S23_L001_R2_001	(1.0, 11.74740752205541)	(2.0, 2.9407212505804052)	(3.0, 1.9965949543414332)	(4.0, 1.4239281844915648)	(5.0, 1.315585822628076)	(6.0, 1.3929732239591395)	(7.0, 0.6500541711809318)	(8.0, 0.7429190527782077)	(9.0, 0.8357839343754836)	('>10', 19.176598049837487)	('>50', 4.039622349481505)	('>100', 20.693391115926328)	('>500', 0.0)	('>1k', 33.04442036836403)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBS1P_S89_L001_R1_001	(1.0, 8.779594137542277)	(2.0, 3.7767756482525368)	(3.0, 2.282976324689966)	(4.0, 1.1837655016910935)	(5.0, 1.4092446448703495)	(6.0, 1.0992108229988726)	(7.0, 0.8878241262683202)	(8.0, 0.7891770011273956)	(9.0, 1.2683201803833146)	('>10', 20.546786922209694)	('>50', 8.807779030439685)	('>100', 17.700112739571587)	('>500', 0.0)	('>1k', 31.468432919954903)	('>5k', 0.0)	('>10k+', 0.0)
20210615-MA-MBS1P_S89_L001_R2_001	(1.0, 11.428974069898533)	(2.0, 3.8613303269447576)	(3.0, 1.8179255918827508)	(4.0, 1.2401352874859075)	(5.0, 1.4092446448703495)	(6.0, 0.8455467869222096)	(7.0, 1.1837655016910935)	(8.0, 1.0146561443066515)	(9.0, 1.141488162344983)	('>10', 21.321871476888386)	('>50', 0.8032694475760991)	('>100', 15.093010146561442)	('>500', 9.160090191657272)	('>1k', 29.67869222096956)	('>5k', 0.0)	('>10k+', 0.0)
