Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20210602-MA-SCB1W_S32_L001_R2_001	83.1082084013656	52.0	251.0	251	36.36363636363637	0.006737
20210602-MA-SCS1F_S53_L001_R1_001	88.69881321501123	51.0	251.0	251	63.63636363636363	0.009353
20210602-MA-SCS1F_S53_L001_R2_001	85.20260878862398	52.0	251.0	251	36.36363636363637	0.009353
20210602-MA-SCS1P_S88_L001_R1_001	84.6670815183572	50.0	251.0	251	63.63636363636363	0.008035
20210602-MA-SCS1P_S88_L001_R2_001	80.77162414436839	51.0	251.0	251	36.36363636363637	0.008035
20210602-MA-SCS1W_S42_L001_R1_001	86.23891937526383	51.0	251.0	251	63.63636363636363	0.004738
20210602-MA-SCS1W_S42_L001_R2_001	81.97551709582102	52.0	251.0	251	36.36363636363637	0.004738
20210615-MA-ABB2F_S55_L001_R1_001	92.76608360509931	52.0	251.0	251	63.63636363636363	0.0033729999999999997
20210615-MA-ABB2F_S55_L001_R2_001	90.60183812629707	52.0	251.0	251	36.36363636363637	0.0033729999999999997
20210615-MA-ABB2P_S17_L001_R1_001	81.64356435643565	52.0	251.0	251	63.63636363636363	0.00505
20210615-MA-ABB2P_S17_L001_R2_001	78.49504950495049	53.0	251.0	251	36.36363636363637	0.00505
20210615-MA-ABB2W_S92_L001_R1_001	87.82981209229871	52.0	251.0	251	63.63636363636363	0.010270999999999999
20210615-MA-ABB2W_S92_L001_R2_001	85.07448154999513	52.0	251.0	251	36.36363636363637	0.010270999999999999
20210615-MA-ABS1F_S33_L001_R1_001	85.15568428674874	51.0	251.0	251	63.63636363636363	0.005523999999999999
20210615-MA-ABS1F_S33_L001_R2_001	82.40405503258509	52.0	251.0	251	36.36363636363637	0.005523999999999999
20210615-MA-ABS1P_S29_L001_R1_001	84.42622950819673	52.0	251.0	251	63.63636363636363	0.0068319999999999995
20210615-MA-ABS1P_S29_L001_R2_001	81.1768149882904	53.0	251.0	251	36.36363636363637	0.0068319999999999995
20210615-MA-ABS1W_S10_L001_R1_001	85.765693722511	51.0	251.0	251	63.63636363636363	0.0050019999999999995
20210615-MA-ABS1W_S10_L001_R2_001	82.22710915633746	52.0	251.0	251	36.36363636363637	0.0050019999999999995
20210615-MA-CEB1F_S91_L001_R1_001	87.31481481481481	52.0	251.0	251	63.63636363636363	0.00756
20210615-MA-CEB1F_S91_L001_R2_001	83.22751322751323	52.0	251.0	251	36.36363636363637	0.00756
20210615-MA-CEB1P_S21_L001_R1_001	84.63747307968414	52.0	251.0	251	63.63636363636363	0.005572
20210615-MA-CEB1P_S21_L001_R2_001	80.59942569992822	53.0	251.0	251	36.36363636363637	0.005572
20210615-MA-CEB1W_S59_L001_R1_001	85.74769770501389	51.0	251.0	251	63.63636363636363	0.006841
20210615-MA-CEB1W_S59_L001_R2_001	82.16634994883789	52.0	251.0	251	36.36363636363637	0.006841
20210615-MA-CES1F_S57_L001_R1_001	86.76327156193395	52.0	251.0	251	63.63636363636363	0.007176999999999999
20210615-MA-CES1F_S57_L001_R2_001	83.07092099763132	53.0	251.0	251	36.36363636363637	0.007176999999999999
20210615-MA-CES1P_S40_L001_R1_001	83.40349740932642	51.0	251.0	251	63.63636363636363	0.006176
20210615-MA-CES1P_S40_L001_R2_001	78.52979274611398	52.0	251.0	251	36.36363636363637	0.006176
20210615-MA-CES1W_S22_L001_R1_001	85.709526982012	51.0	251.0	251	63.63636363636363	0.006004
20210615-MA-CES1W_S22_L001_R2_001	81.99533644237175	52.0	251.0	251	36.36363636363637	0.006004
20210615-MA-CWB1F_S9_L001_R1_001	84.68614718614718	52.0	251.0	251	63.63636363636363	0.0055439999999999994
20210615-MA-CWB1F_S9_L001_R2_001	80.1948051948052	52.0	251.0	251	36.36363636363637	0.0055439999999999994
20210615-MA-CWB1P_S80_L001_R1_001	86.19195734281271	52.0	251.0	251	63.63636363636363	0.009002
20210615-MA-CWB1P_S80_L001_R2_001	79.38235947567208	53.0	251.0	251	36.36363636363637	0.009002
20210615-MA-CWB1W_S35_L001_R1_001	85.37610964024296	52.0	251.0	251	63.63636363636363	0.006421
20210615-MA-CWB1W_S35_L001_R2_001	81.01541815916524	53.0	251.0	251	36.36363636363637	0.006421
20210615-MA-CWS1F_S81_L001_R1_001	86.287100456621	52.0	251.0	251	63.63636363636363	0.0070079999999999995
20210615-MA-CWS1F_S81_L001_R2_001	77.68264840182648	53.0	251.0	251	36.36363636363637	0.0070079999999999995
20210615-MA-CWS1P_S66_L001_R1_001	84.8458456714858	52.0	251.0	251	63.63636363636363	0.005741
20210615-MA-CWS1P_S66_L001_R2_001	80.66538930499914	53.0	251.0	251	36.36363636363637	0.005741
20210615-MA-CWS1W_S82_L001_R1_001	86.27425780747976	52.0	251.0	251	63.63636363636363	0.007781
20210615-MA-CWS1W_S82_L001_R2_001	79.28286852589642	53.0	251.0	251	36.36363636363637	0.007781
20210615-MA-MBB1F_S69_L001_R1_001	88.70257211880062	51.0	251.0	251	63.63636363636363	0.007037
20210615-MA-MBB1F_S69_L001_R2_001	85.10729003836863	52.0	251.0	251	36.36363636363637	0.007037
20210615-MA-MBB1P_S90_L001_R1_001	85.39845758354755	51.0	251.0	251	63.63636363636363	0.005835
20210615-MA-MBB1P_S90_L001_R2_001	82.5878320479863	52.0	251.0	251	36.36363636363637	0.005835
20210615-MA-MBB1W_S71_L001_R1_001	87.21316664029118	51.0	251.0	251	63.63636363636363	0.006319
20210615-MA-MBB1W_S71_L001_R2_001	83.4942237695838	52.0	251.0	251	36.36363636363637	0.006319
20210615-MA-MBS1F_S23_L001_R1_001	88.19068255687974	52.0	251.0	251	63.63636363636363	0.006461
20210615-MA-MBS1F_S23_L001_R2_001	83.91889800340505	53.0	251.0	251	36.36363636363637	0.006461
20210615-MA-MBS1P_S89_L001_R1_001	86.13303269447576	50.0	251.0	251	63.63636363636363	0.007096
20210615-MA-MBS1P_S89_L001_R2_001	83.76550169109358	51.0	251.0	251	36.36363636363637	0.007096
20210615-MA-MBS1W_S83_L001_R1_001	87.61783439490446	51.0	251.0	251	63.63636363636363	0.00785
20210615-MA-MBS1W_S83_L001_R2_001	79.49044585987261	52.0	251.0	251	36.36363636363637	0.00785
20210615-MA-SCB2F_S86_L001_R1_001	20.0	49.0	251.0	251	45.45454545454545	9.999999999999999e-06
20210615-MA-SCB2F_S86_L001_R2_001	10.0	51.0	251.0	251	27.27272727272727	9.999999999999999e-06
20210615-MA-SCB2P_S76_L001_R1_001	82.72079772079772	50.0	251.0	251	63.63636363636363	0.007019999999999999
20210615-MA-SCB2P_S76_L001_R2_001	74.2022792022792	51.0	251.0	251	36.36363636363637	0.007019999999999999
20210615-MA-SCB2W_S20_L001_R1_001	87.34238603297769	50.0	251.0	251	63.63636363636363	0.006186
20210615-MA-SCB2W_S20_L001_R2_001	83.2848367280957	51.0	251.0	251	36.36363636363637	0.006186
20210615-MA-SCS2F_S19_L001_R1_001	87.893864013267	51.0	251.0	251	63.63636363636363	0.004824
20210615-MA-SCS2F_S19_L001_R2_001	82.85655058043118	51.0	251.0	251	36.36363636363637	0.004824
20210615-MA-SCS2P_S1_L001_R1_001	92.0844581565754	46.0	251.0	251	63.63636363636363	0.010372
20210615-MA-SCS2P_S1_L001_R2_001	89.53914384882376	47.0	251.0	251	36.36363636363637	0.010372
20210615-MA-SCS2W_S43_L001_R1_001	87.93368654930781	51.0	251.0	251	63.63636363636363	0.005850999999999999
20210615-MA-SCS2W_S43_L001_R2_001	83.42163732695266	51.0	251.0	251	36.36363636363637	0.005850999999999999
20211005-MA-ABB2F_S3_L001_R1_001	85.47193090684763	52.0	251.0	251	63.63636363636363	0.006483999999999999
20211005-MA-ABB2F_S3_L001_R2_001	81.89389265885256	53.0	251.0	251	36.36363636363637	0.006483999999999999
20211005-MA-ABB2P_S49_L001_R1_001	83.53413654618474	51.0	251.0	251	63.63636363636363	0.008714999999999999
20211005-MA-ABB2P_S49_L001_R2_001	80.13769363166953	52.0	251.0	251	36.36363636363637	0.008714999999999999
20211005-MA-ABB2W_S64_L001_R1_001	86.97283311772316	52.0	251.0	251	63.63636363636363	0.00773
20211005-MA-ABB2W_S64_L001_R2_001	83.38939197930142	53.0	251.0	251	36.36363636363637	0.00773
20211005-MA-ABS1F_S15_L001_R1_001	84.18923672177277	52.0	251.0	251	63.63636363636363	0.005686
20211005-MA-ABS1F_S15_L001_R2_001	82.14913823425958	52.0	251.0	251	36.36363636363637	0.005686
20211005-MA-ABS1P_S13_L001_R1_001	82.9326923076923	51.0	251.0	251	63.63636363636363	0.00624
20211005-MA-ABS1P_S13_L001_R2_001	80.57692307692308	52.0	251.0	251	36.36363636363637	0.00624
20211005-MA-ABS1W_S16_L001_R1_001	85.0760307258191	52.0	251.0	251	63.63636363636363	0.006379
20211005-MA-ABS1W_S16_L001_R2_001	82.53644771907823	53.0	251.0	251	36.36363636363637	0.006379
20211005-MA-CEB1F_S39_L001_R1_001	81.94089748267055	52.0	251.0	251	63.63636363636363	0.005482
20211005-MA-CEB1F_S39_L001_R2_001	78.23786939073331	52.0	251.0	251	36.36363636363637	0.005482
20211005-MA-CEB1P_S62_L001_R1_001	81.98740761018341	52.0	251.0	251	63.63636363636363	0.007306
20211005-MA-CEB1P_S62_L001_R2_001	78.6339994525048	52.0	251.0	251	36.36363636363637	0.007306
20211005-MA-CEB1W_S72_L001_R1_001	83.5191403626595	51.0	251.0	251	63.63636363636363	0.007444999999999999
20211005-MA-CEB1W_S72_L001_R2_001	78.76427132303559	52.0	251.0	251	36.36363636363637	0.007444999999999999
20211005-MA-CES2F_S74_L001_R1_001	86.07194623797602	52.0	251.0	251	63.63636363636363	0.007588999999999999
20211005-MA-CES2F_S74_L001_R2_001	78.57425220714191	52.0	251.0	251	36.36363636363637	0.007588999999999999
20211005-MA-CES2P_S61_L001_R1_001	85.12265892904247	52.0	251.0	251	63.63636363636363	0.007581999999999999
20211005-MA-CES2P_S61_L001_R2_001	82.57715642310735	53.0	251.0	251	36.36363636363637	0.007581999999999999
